,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_GF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_RF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_CRF,DADRI_LF,DADRI_LF,DADRI_LF,DADRI_LF,Total,Total,Total,Total,Block_time,Block_time,Revision,Revision,Revision
,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,DeclaredAmount,OffBarDC,DeclarationOnBar,Schedule,block_start,block_stop,revnumber,revdate,revtime
84,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,21:00,21:15,,,
85,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,21:15,21:30,,,
86,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,21:30,21:45,,,
87,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,21:45,22:00,,,
88,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,22:00,22:15,,,
89,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,22:15,22:30,,,
90,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,22:30,22:45,,,
91,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,22:45,23:00,,,
92,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,23:00,23:15,,,
93,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,23:15,23:30,,,
94,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,23:30,23:45,,,
95,130.0,0.0,130.0,130.0,240.0,0.0,240.0,124.35,0.0,0.0,0.0,0.0,185.0,185.0,0.0,0.0,555.0,185.0,370.0,254.35,23:45,00:00,,,
